"Sign","Sign1","Name","Values","Values1","MesZL","ABZ/Labat","Codepoint","Values2","Values3","Path","MesZL_nu"
"𒆳","𒆳","KUR","KUR (AMMA, ANUBU, GE21, GEN3, GIN3, GINA3, GUR16, ḪUR, KEN3, KIN3, KURA, KURU, LAD, LAT, LATA, LAṬ, MAD, MAT, MAṬ, NAB2, NAD, NAT, NATA, NAṬ, QIN3, QUR2, RAMAN, RAMANU, RAŠU, RAZU, SAD, SAT, SATA, SAṬ, ŠAD, ŠADA, ŠADI, ŠAḪAN, ŠAS, ŠAŠ, ŠAT, ŠATA, ŠAṬ, ZIZANU)","KUR (AMMA, ANUBU, GE<sub>21</sub> <font color=""#878787"">(MesZL: to be erased)</font>, GEN<sub>3</sub> <font color=""#878787"">(MesZL: Deimel GEN<sub>2</sub>)</font>, GIN<sub>3</sub>, GINA<sub>3</sub>, GUR<sub>16</sub>, <font color=""#c5000b"">ḪUR</font> <font color=""#878787"">(Labat: ḪUR = KUR; MesZL: ḪUR = ḪAR (no. 644))</font>, KEN<sub>3</sub>, KIN<sub>3</sub>, KURA, KURU, LAD, LAT, LATA, LAṬ, MAD, MAT, MAṬ, <font color=""#c5000b"">NAB<sub>2</sub></font> <font color=""#878787"">(Labat: in index NAB<sub>2</sub> = KUR (578), but in syllabary NAP<sub>2</sub> = MUL (247); KŠ: perhaps mistake)</font>, NAD, NAT, NATA, <font color=""#c5000b"">NAṬ</font> <font color=""#878787"">(Labat; MesZL: NAṬ missing)</font>, <font color=""#c5000b"">QIN<sub>3</sub></font> <font color=""#878787"">(Labat: ?; MesZL: QIN<sub>3</sub> missing)</font>, QUR<sub>2</sub>, RAMAN, RAMANU, RAŠU, RAZU, SAD, SAT, SATA, <font color=""#c5000b"">SAṬ</font> <font color=""#878787"">(Labat; MesZL: SAṬ missing)</font>, ŠAD, ŠADA, ŠADI, ŠAḪAN, <font color=""#c5000b"">ŠAS</font> <font color=""#878787"">(Labat; MesZL: ŠAS = ŠEŠ (no. 535))</font>, <font color=""#c5000b"">ŠAŠ</font> <font color=""#878787"">(Labat; MesZL: ŠAŠ = ŠEŠ (no. 535))</font>, ŠAT, ŠATA, ŠAṬ, ZIZANU)","578","366","U+121B3 (KUR)","KUR (AMMA, ANUBU, GE21 (MesZL: to be erased), GEN3 (MesZL: Deimel GEN2), GIN3, GINA3, GUR16, ḪUR (Labat: ḪUR = KUR; MesZL: ḪUR = ḪAR (no. 644)), KEN3, KIN3, KURA, KURU, LAD, LAT, LATA, LAṬ, MAD, MAT, MAṬ, NAB2 (Labat: in index NAB2 = KUR (no. 578), but in syllabary NAP2 = MUL (no. 247); KŠ: perhaps mistake), NAD, NAT, NATA, NAṬ (Labat; MesZL: NAṬ missing), QIN3 (Labat: ?; MesZL: QIN3 missing), QUR2, RAMAN, RAMANU, RAŠU, RAZU, SAD, SAT, SATA, SAṬ (Labat; MesZL: SAṬ missing), ŠAD, ŠADA, ŠADI, ŠAḪAN, ŠAS (Labat; MesZL: ŠAS = ŠEŠ (no. 535)), ŠAŠ (Labat; MesZL: ŠAŠ = ŠEŠ (no. 535)), ŠAT, ŠATA, ŠAṬ, ZIZANU)","KUR (AMMA, ANUBU, GE21, GEN3, GIN3, GINA3, GUR16, HUR, KEN3, KIN3, KURA, KURU, LAD, LAT, LATA, LAṬ, MAD, MAT, MAṬ, NAB2, NAD, NAT, NATA, NAṬ, QIN3, QUR2, RAMAN, RAMANU, RASHU, RAZU, SAD, SAT, SATA, SAṬ, SHAD, SHADA, SHADI, SHAHAN, SHAS, SHASH, SHAT, SHATA, SHAṬ, ZIZANU)","366-KUR",578
"𒆴","𒆴","KUR opposing KUR","KUR opposing KUR (KUR.KUR inversum; GUDIBIR2, LAMḪU)","KUR opposing KUR (KUR.KUR <i>inversum</i>; GUDIBIR<sub>2</sub>, LAMḪU)","578","366_87","U+121B4 (KUR OPPOSING KUR)","KUR opposing KUR (KUR.KUR inversum; GUDIBIR2, LAMḪU)","KUR opposing KUR (KUR.KUR inversum; GUDIBIR2, LAMHU)","–",578
"𒆳𒋾","𒆳𒋾","KUR.TI","KUR.TI (PARSA)","KUR.TI (PARSA)","578+118","366+073","U+121B3 & U+122FE (KUR & TI)","KUR.TI (PARSA)","KUR.TI (PARSA)","–",578
"𒆳𒋾𒆠","𒆳𒋾𒆠","KUR.TI.KI","KUR.TI.KI (ESA)","KUR.TI.KI (<font color=""#c5000b"">ESA</font> <font color=""#878787"">(Labat; MesZL: ESA missing)</font>)","578+118+737","366+073+461","U+121B3 & U+122FE & U+121A0 (KUR & TI & KI)","KUR.TI.KI (ESA (Labat; MesZL: ESA missing))","KUR.TI.KI (ESA)","–",578
"𒍙","𒍙","KUR₂.IR.GIDIM₂","KUR2.IR.GIDIM2 (UTUDI, UTUKI)","KUR<sub>2</sub>.IR.GIDIM<sub>2</sub> (<font color=""#878787"">(MesZL: see MUŠ (no. 585) and PAB (no. 92))</font>; UTUDI, UTUKI)","092, also 585","060a","U+12359 (UTUKI)","KUR2.IR.GIDIM2 (MesZL: see MUŠ (no. 585) and PAB (no. 92); UTUDI, UTUKI)","KUR2.IR.GIDIM2 (UTUDI, UTUKI)","–",92
"𒍙","𒍙","KUR₂.IR.GIDIM₂","KUR2.IR.GIDIM2 (UTUDI, UTUKI)","KUR<sub>2</sub>.IR.GIDIM<sub>2</sub> <font color=""#878787"">(MesZL: see MUŠ (no. 585) and PAB (no. 92))</font>; UTUDI, UTUKI)","585, also 092","060a","U+12359 (UTUKI)","KUR2.IR.GIDIM2 ( (MesZL: see MUŠ (no. 585) and PAB (no. 92)); UTUDI, UTUKI)","KUR2.IR.GIDIM2 (UTUDI, UTUKI)","–",585
"𒆵","𒆵","KUŠU₂","KUŠU2 (KUIA, KUŠ9, UḪ3)","KUŠU<sub>2</sub> (KUIA, KUŠ<sub>9</sub>, UḪ<sub>3</sub>)","896","562","U+121B5 (KUSHU2)","KUŠU2 (KUIA, KUŠ9, UḪ3)","KUSHU2 (KUIA, KUSH9, UH3)","562-KUSHU2",896
"–","–","KWU 318","KWU 318","KWU 318","–","KWU 318","U+121B6 (KWU318)","KWU 318","KWU 318","–",0
"𒆷","𒆷","LA","LA (ḪIR4, LAE, ŠIKA)","LA (<font color=""#c5000b"">ḪIR<sub>4</sub></font> <font color=""#878787"">(Labat; MesZL: ḪIR<sub>4</sub> missing)</font>, <font color=""#c5000b"">LAE</font> <font color=""#878787"">(Labat; MesZL: LAE missing)</font>, ŠIKA)","089","055","U+121B7 (LA)","LA (ḪIR4 (Labat; MesZL: ḪIR4 missing), LAE (Labat; MesZL: LAE missing), ŠIKA)","LA (HIR4, LAE, SHIKA)","055-LA",89
"𒆸","𒆸","LAGAB","LAGAB (ELLA2, ELLAG, GEL2, GIL2, GILI2, GILI4, GIR8, GIRAG, GIRI8, GIRIM, GIRIN, GUD8, GUR4, GURUN3, ḪAB, ḪABA, ḪAP, ILLAG, KEL, KELE, KIL, KILI, KILIB, KIR3, KUR4, KURU4, LUGUD2, NI10, NIGI2, NIGIN2, NIMEN2, NIMGIN2, NIN4, NINGIN2, QEL, QER3, QIL, QIR3, RE3, REM, REME, RI3, RIM, RIMI, RIN, SIM4, TUKU6, TUKUL3, TUKUR, TUR6)","LAGAB (ELLA<sub>2</sub>, ELLAG, GEL<sub>2</sub>, GIL<sub>2</sub>, GILI<sub>2</sub>, <font color=""#c5000b"">GILI<sub>4</sub></font> <font color=""#878787"">(Labat; MesZL: GILI<sub>2</sub>, GILI<sub>4</sub> = KA × RU (no. 28))</font>, GIR<sub>8</sub>, <font color=""#c5000b"">GIRAG</font> <font color=""#878787"">(Labat; MesZL: GIRAG missing)</font>, GIRI<sub>8</sub>, GIRIM, GIRIN, GUD<sub>8</sub>, GUR<sub>4</sub>, GURUN<sub>3</sub> <font color=""#878787"">(MesZL: to be erased)</font>, ḪAB, ḪABA, ḪAP, ILLAG, KEL, KELE, KIL, KILI, KILIB, KIR<sub>3</sub>, KUR<sub>4</sub>, KURU<sub>4</sub>, LUGUD<sub>2</sub>, NI<sub>10</sub> <font color=""#878787"">(MesZL: Deimel and Labat NINI (= NIGIN, no. 804))</font>, NIGI<sub>2</sub>, NIGIN<sub>2</sub>, NIMEN<sub>2</sub>, NIMGIN<sub>2</sub>, NIN<sub>4</sub>, NINGIN<sub>2</sub>, QEL, QER<sub>3</sub> <font color=""#878787"">(MesZL: Labat differently)</font>, QIL, QIR<sub>3</sub> <font color=""#878787"">(MesZL: Labat differently; Labat: in syllabary QIR<sub>3</sub> = LAGAB (no. 755), but in index QIR<sub>3</sub> =? GIR<sub>4</sub> (no. 683))</font>, RE<sub>3</sub>, REM, REME, RI<sub>3</sub>, RIM, <font color=""#c5000b"">RIMI</font> <font color=""#878787"">(Labat; MesZL: RIMI missing)</font>, RIN, SIM<sub>4</sub> <font color=""#878787"">(MesZL: to be erased)</font>, TUKU<sub>6</sub>, TUKUL<sub>3</sub>, TUKUR TUR<sub>6</sub>)","755","483","U+121B8 (LAGAB)","LAGAB (ELLA2, ELLAG, GEL2, GIL2, GILI2, GILI4 (Labat; MesZL: GILI2, GILI4 = KA × RU (no. 28)), GIR8, GIRAG (Labat; MesZL: GIRAG missing), GIRI8, GIRIM, GIRIN, GUD8, GUR4, GURUN3 (MesZL: to be erased), ḪAB, ḪABA, ḪAP, ILLAG, KEL, KELE, KIL, KILI, KILIB, KIR3, KUR4, KURU4, LUGUD2, NI10 (MesZL: Deimel and Labat NINI (= NIGIN, no. 804)), NIGI2, NIGIN2, NIMEN2, NIMGIN2, NIN4, NINGIN2, QEL, QER3 (MesZL: Labat differently), QIL, QIR3 (MesZL: Labat differently; Labat: in syllabary QIR3 = LAGAB (no. 755), but in index QIR3 =? GIR4 (no. 683)), RE3, REM, REME, RI3, RIM, RIMI (Labat; MesZL: RIMI missing), RIN, SIM4 (MesZL: to be erased), TUKU6, TUKUL3, TUKUR, TUR6)","LAGAB (ELLA2, ELLAG, GEL2, GIL2, GILI2, GILI4, GIR8, GIRAG, GIRI8, GIRIM, GIRIN, GUD8, GUR4, GURUN3, HAB, HABA, HAP, ILLAG, KEL, KELE, KIL, KILI, KILIB, KIR3, KUR4, KURU4, LUGUD2, NI10, NIGI2, NIGIN2, NIMEN2, NIMGIN2, NIN4, NINGIN2, QEL, QER3, QIL, QIR3, RE3, REM, REME, RI3, RIM, RIMI, RIN, SIM4, TUKU6, TUKUL3, TUKUR, TUR6)","483-LAGAB",755
"𒆺","𒆺","LAGAB × A.DA.ḪA","LAGAB × A.DA.ḪA (EDAKUA2)","LAGAB × A.DA.ḪA (EDAKUA<sub>2</sub>)","797","524, 523","U+121BA (LAGAB TIMES A PLUS DA PLUS HA)","LAGAB × A.DA.ḪA (EDAKUA2)","LAGAB × A.DA.HA (EDAKUA2)","524-EDAKUA2",797
"𒆼","𒆼","LAGAB × A.LAL","LAGAB × A.LAL (ABLAL, KINBUR)","LAGAB × A.LAL (ABLAL, KINBUR)","798","525","U+121BC (LAGAB TIMES A PLUS LAL)","LAGAB × A.LAL (ABLAL, KINBUR)","LAGAB × A.LAL (ABLAL, KINBUR)","525-ABLAL",798
